UserID;Gender;Occupation;Zip-code;Age
152;M;4;Michigan;4
153;M;10;Iowa;1
154;M;20;Califórnia;8
155;M;12;Nova Jérsia;6
156;F;7;Nova Iorque (estado);7
157;M;16;Nova Iorque (estado);7
158;M;7;Carolina do Norte;8
159;F;0;Tennessee;7
160;M;7;Nova Iorque (estado);7
161;M;16;Washington;7
162;F;4;Califórnia;4
163;M;4;Arizona;4
164;F;13;Califórnia;8
165;M;16;Washington;4
166;M;4;Califórnia;4
167;F;11;Nova Iorque (estado);5
168;F;0;Indiana;7
169;M;7;Minnesota;6
170;M;11;Nova Jérsia;6
171;F;17;Minnesota;8
172;M;3;Nova Jérsia;6
173;M;0;Ohio;5
174;M;16;Maryland;5
175;F;2;Califórnia;6
176;F;3;Minnesota;4
177;M;1;Wisconsin;8
178;M;17;Wisconsin;9
179;M;0;Massachusetts;6
180;M;12;Massachusetts;7
181;M;17;Flórida;4
182;M;4;Nova Hampshire;4
183;F;1;Minnesota;7
184;F;0;Pensilvânia;5
185;M;0;Nova Iorque (estado);7
186;M;5;Califórnia;4
187;F;1;Califórnia;7
188;M;16;Texas;9
189;M;0;Illinois;4
190;M;17;Minnesota;6
191;M;4;Maine;3
192;M;1;Nova Iorque (estado);4
193;F;15;Ohio;7
194;F;10;Carolina do Sul;0
195;M;12;Nova Iorque (estado);6
196;F;9;Califórnia;6
197;M;14;Nova Iorque (estado);4
198;M;12;Minnesota;5
199;M;4;Idaho;3
200;F;4;Utah;4
201;F;2;Minnesota;6
202;M;4;Wisconsin;4
203;F;4;Wisconsin;3
204;M;7;Califórnia;5
205;M;12;Oregon;6
206;M;17;;5
207;M;12;Califórnia;6
208;M;17;Minnesota;6
209;M;1;Califórnia;6
210;F;10;Virgínia Ocidental;0
211;M;17;Califórnia;7
212;M;16;Wisconsin;6
213;F;4;Massachusetts;4
214;M;20;Colorado;3
215;M;14;Califórnia;6
216;M;13;Iowa;7
217;M;4;Virgínia;4
218;M;14;Califórnia;6
219;F;4;Minnesota;6
220;M;12;Virgínia;5
221;F;0;Califórnia;6
222;M;1;Minnesota;6
223;M;17;Carolina do Norte;5
224;F;4;Nova Iorque (estado);4
225;M;7;Nova Iorque (estado);5
226;M;1;Califórnia;6
227;M;20;Califórnia;6
228;M;15;Minnesota;5
229;M;10;Maine;4
230;M;1;Ohio;7
231;M;3;Minnesota;5
232;M;20;Minnesota;5
233;F;20;Tennessee;7
234;M;7;Mississippi;7
235;M;0;Washington;6
236;M;5;Minnesota;5
237;M;6;Indiana;6
238;F;7;Califórnia;8
239;M;19;Califórnia;4
240;M;17;Minnesota;7
241;M;20;Minnesota;7
242;F;4;Wisconsin;4
243;M;16;Nova Iorque (estado);4
244;M;7;Pensilvânia;8
245;M;16;Missouri;6
246;F;4;Illinois;4
247;M;17;Califórnia;5
248;M;17;Arkansas;3
249;F;14;Michigan;3
250;M;16;Nova Iorque (estado);6
251;M;17;Minnesota;9
252;M;12;Califórnia;6
253;F;11;Oregon;6
254;M;17;Michigan;7
255;M;0;Arizona;7
256;M;16;Minnesota;7
257;M;18;Minnesota;4
258;M;7;Minnesota;6
259;M;1;Illinois;6
260;M;19;Washington;3
261;M;20;Texas;5
262;F;1;Nebraska;5
263;F;7;Virgínia;6
264;M;0;Maryland;6
265;F;7;Minnesota;6
266;M;11;Texas;6
267;M;12;Minnesota;7
268;F;12;Carolina do Sul;3
269;M;2;Minnesota;4
270;M;14;Minnesota;8
271;M;4;Michigan;4
272;M;0;Colorado;4
273;M;4;Minnesota;4
274;M;4;Minnesota;3
275;M;0;Michigan;6
276;M;16;Massachusetts;7
277;F;1;Washington;6
278;M;18;Illinois;7
279;M;14;Califórnia;6
280;M;7;Pensilvânia;8
281;F;0;Califórnia;7
282;M;17;Califórnia;5
283;M;0;Nova Iorque (estado);5
284;M;12;Califórnia;5
285;F;0;Califórnia;6
286;M;1;Wisconsin;5
287;M;13;Califórnia;7
288;F;12;Oregon;5
289;F;0;Nova Iorque (estado);6
290;F;20;Califórnia;5
291;M;12;Minnesota;6
292;M;7;Pensilvânia;7
293;M;1;Minnesota;8
294;F;9;Ohio;7
295;M;0;Colorado;4
296;M;5;Nevada;8
297;M;2;Oregon;4
298;F;4;Pensilvânia;3
299;M;12;Oregon;6
300;M;7;Texas;5
301;M;4;Illinois;4
302;M;4;Maine;3
303;M;7;Washington, D.C.;5
304;M;0;Minnesota;5
305;F;0;Minnesota;3
306;M;0;Wisconsin;4
307;M;16;Califórnia;8
308;M;2;Nova Iorque (estado);5
309;M;4;Pensilvânia;6
310;F;4;Geórgia (Estados Unidos);3
311;M;4;Geórgia (Estados Unidos);4
312;F;2;Maryland;8
313;F;4;Massachusetts;3
314;F;9;Indiana;9
315;F;1;Minnesota;8
316;M;13;Califórnia;8
317;M;7;Tennessee;7
318;F;13;Minnesota;8
319;F;6;Flórida;8
320;M;6;Alasca;7
321;M;4;Minnesota;4
322;M;17;Minnesota;8
323;M;12;Wisconsin;7
324;M;17;Minnesota;6
325;F;3;Minnesota;8
326;M;11;Virgínia Ocidental;8
327;M;18;Minnesota;6
328;M;12;Colorado;6
329;M;7;Massachusetts;7
330;M;7;Califórnia;8
331;M;7;Minnesota;5
332;M;1;Minnesota;8
333;M;2;Minnesota;6
334;F;2;Minnesota;8
335;M;18;Minnesota;7
336;M;0;Washington;3
337;M;19;Colorado;4
338;M;7;Minnesota;6
339;M;7;Colorado;8
340;F;3;Carolina do Norte;5
341;F;13;Califórnia;8
342;M;12;Minnesota;3
343;F;3;Minnesota;7
344;M;14;Texas;6
345;M;12;Califórnia;6
346;F;0;Minnesota;5
347;F;1;Minnesota;9
348;M;7;Minnesota;8
349;M;10;Nova Jérsia;0
350;M;20;Nova Jérsia;7
351;M;4;Minnesota;4
352;M;4;Illinois;4
353;F;7;Califórnia;7
354;M;1;Minnesota;7
355;M;3;Minnesota;3
356;M;20;Minnesota;8
357;M;0;Washington;3
358;F;1;Maryland;8
359;M;17;Minnesota;6
360;M;17;Carolina do Norte;6
361;F;14;Califórnia;5
362;M;20;Minnesota;7
363;M;10;Minnesota;3
364;F;1;Indiana;6
365;F;4;Massachusetts;4
366;M;15;Minnesota;8
367;M;12;Minnesota;8
368;M;0;Califórnia;5
369;M;1;Minnesota;6
370;M;17;Virgínia;4
371;M;4;Massachusetts;4
372;F;4;Arkansas;3
373;F;2;Minnesota;6
374;F;14;Minnesota;6
375;M;2;Minnesota;6
376;M;1;Colorado;6
377;M;17;Minnesota;5
378;F;0;Minnesota;4
379;F;1;Wisconsin;7
380;M;2;Califórnia;4
381;M;17;Nevada;7
382;F;20;Kansas;6
383;F;7;Texas;5
384;M;11;Minnesota;6
385;M;6;Nebraska;5
386;M;0;Minnesota;5
387;F;7;Minnesota;7
388;F;0;Nova Iorque (estado);6
389;M;6;Nebraska;6
390;M;4;Minnesota;5
391;M;11;Maryland;7
392;M;7;Washington, D.C.;4
393;M;17;Minnesota;7
394;M;0;Minnesota;4
395;M;5;Minnesota;4
396;M;1;Minnesota;5
397;M;17;Maryland;6
398;M;17;Minnesota;5
399;F;6;Minnesota;7
400;F;3;Minnesota;4
401;M;0;Minnesota;4
402;M;11;Minnesota;5
403;M;4;Massachusetts;4
404;M;4;Nova Iorque (estado);3
405;M;1;Nova Iorque (estado);8
406;M;20;Minnesota;5
407;M;17;Nevada;4
408;M;11;Massachusetts;5
409;M;12;Minnesota;4
410;F;1;Minnesota;5
411;F;1;Ohio;7
412;M;15;Minnesota;6
413;M;11;Minnesota;6
414;M;0;Minnesota;6
415;F;0;Minnesota;6
416;M;14;Minnesota;7
417;F;0;Iowa;5
418;F;3;Wisconsin;6
419;M;3;Minnesota;4
420;M;1;Minnesota;7
421;F;3;Minnesota;7
422;M;17;Minnesota;8
423;M;4;Minnesota;4
424;M;17;Minnesota;6
425;M;12;Minnesota;5
426;M;4;Minnesota;4
427;M;12;Minnesota;6
428;F;4;Minnesota;4
429;M;0;Wisconsin;4
430;F;10;Minnesota;4
431;M;10;Minnesota;3
432;M;16;Minnesota;7
433;M;6;Minnesota;8
434;F;3;Washington;7
435;M;7;Minnesota;6
436;M;4;Ohio;4
437;M;17;Minnesota;6
438;M;11;Wisconsin;4
439;M;14;Minnesota;7
440;M;1;Flórida;9
441;M;1;Minnesota;6
442;M;1;Minnesota;5
443;M;3;Minnesota;6
444;M;0;Minnesota;8
445;M;12;Minnesota;7
446;F;0;Minnesota;7
447;F;11;Minnesota;7
448;M;17;Colorado;4
449;M;7;Arizona;6
450;M;1;Virgínia;7
451;M;13;Wisconsin;8
452;M;17;Minnesota;8
453;M;4;Minnesota;3
454;M;20;Minnesota;6
455;F;2;Minnesota;6
456;M;0;Minnesota;7
457;M;4;Wisconsin;4
458;M;16;Minnesota;7
459;F;4;Minnesota;4
460;M;18;Minnesota;7
461;M;7;Minnesota;8
462;M;16;Minnesota;3
463;M;7;Minnesota;5
464;F;4;Minnesota;4
465;M;19;Califórnia;4
466;M;5;Minnesota;5
467;F;3;Minnesota;7
468;F;10;Minnesota;0
469;M;6;Minnesota;6
470;F;10;Minnesota;0
471;M;7;Nova Jérsia;6
472;M;0;Minnesota;7
473;F;4;Minnesota;4
474;M;17;Califórnia;6
475;F;2;Minnesota;5
476;M;0;Minnesota;6
477;M;14;Minnesota;7
478;M;16;Minnesota;8
479;M;12;Minnesota;5
480;F;4;Minnesota;4
481;M;7;Minnesota;7
482;M;14;Minnesota;5
483;M;12;Minnesota;3
484;F;10;Minnesota;0
485;M;7;Minnesota;9
486;M;0;Califórnia;8
487;F;17;Minnesota;7
488;M;12;Minnesota;5
489;M;4;Minnesota;4
490;M;10;Minnesota;1
491;M;4;Minnesota;4
492;M;12;Minnesota;6
493;M;7;Minnesota;8
494;F;0;Pensilvânia;6
495;M;10;Minnesota;4
496;M;4;Minnesota;4
497;F;17;Minnesota;5
498;M;17;Minnesota;7
499;F;1;Minnesota;5
500;F;2;Minnesota;3
501;M;2;Minnesota;5
502;M;6;Minnesota;6
503;M;11;Oklahoma;7
504;M;2;Pensilvânia;5
505;M;17;Tennessee;6
506;M;16;Minnesota;5
507;F;0;Minnesota;5
508;M;12;Minnesota;6
509;M;2;Minnesota;6
510;M;12;Minnesota;4
511;F;4;Pensilvânia;7
512;M;0;Minnesota;7
513;M;0;Minnesota;5
514;M;2;Minnesota;6
515;M;1;Minnesota;6
516;F;14;Minnesota;9
517;F;14;Minnesota;5
518;F;12;Texas;7
519;F;14;Minnesota;6
520;F;20;Minnesota;6
521;M;7;Minnesota;8
522;M;12;Minnesota;5
523;M;7;Minnesota;8
524;M;0;Califórnia;4
525;M;6;Pensilvânia;7
526;M;17;Califórnia;7
527;F;2;Nova Iorque (estado);4
528;F;17;Idaho;4
529;M;12;Califórnia;6
530;M;2;Nova Iorque (estado);5
531;F;14;Maryland;3
532;M;7;Califórnia;5
533;M;12;Carolina do Norte;6
534;M;15;Minnesota;4
535;M;6;Califórnia;6
536;M;20;Massachusetts;6
537;M;14;Nova Jérsia;7
538;M;16;Califórnia;9
539;M;2;Minnesota;5
540;M;1;Pensilvânia;4
541;F;4;;4
542;M;4;Texas;4
543;M;5;Minnesota;6
544;M;12;Califórnia;6
545;M;17;Massachusetts;6
546;F;0;Tennessee;6
547;M;12;Texas;7
548;F;16;Havaí;7
549;M;6;Wisconsin;6
550;M;8;Maryland;7
551;M;20;Minnesota;7
552;M;18;Virgínia;7
553;M;2;Califórnia;5
554;M;12;Califórnia;5
555;M;4;Wisconsin;3
556;F;9;Tennessee;4
557;M;1;Geórgia (Estados Unidos);9
558;M;20;Minnesota;6
559;F;7;Illinois;5
560;M;15;Colorado;7
561;F;14;Missouri;4
562;M;20;Michigan;6
563;M;4;Wisconsin;5
564;M;1;Michigan;7
565;M;16;Ohio;6
566;M;17;Califórnia;5
567;M;20;Iowa;6
568;F;17;Delaware;8
569;F;4;Oregon;4
570;M;4;Flórida;5
571;M;5;Califórnia;7
572;M;4;Illinois;3
573;F;2;Washington;6
574;M;19;Califórnia;5
575;M;12;Califórnia;5
576;F;15;Maryland;7
577;M;0;Massachusetts;6
578;M;17;Califórnia;4
579;M;5;Flórida;4
580;M;10;Nova Jérsia;0
581;M;14;Oklahoma;7
582;M;4;Kansas;4
583;F;0;Michigan;6
584;F;0;Califórnia;5
585;M;1;Wisconsin;3
586;M;14;Wisconsin;7
587;M;20;Califórnia;6
588;F;11;Virgínia;5
589;M;2;Califórnia;4
590;F;6;Washington;7
591;M;0;Texas;6
592;M;0;Califórnia;3
593;F;1;Califórnia;7
594;F;13;Illinois;9
595;M;7;Nova Iorque (estado);5
596;F;1;Massachusetts;5
597;M;12;Colorado;7
598;M;7;Califórnia;7
599;M;6;Wisconsin;8
600;M;17;Kansas;7
601;F;20;Connecticut;4
602;F;6;Nova Iorque (estado);9
603;F;6;Flórida;5
604;M;17;Flórida;7
605;F;4;Ohio;4
606;F;10;Michigan;1
607;M;0;Ohio;6
608;M;4;Pensilvânia;4
609;M;7;Nova Iorque (estado);5
610;M;4;Texas;5
611;M;0;Maryland;6
612;M;7;Califórnia;8
613;M;20;Nova Iorque (estado);6
614;M;1;Califórnia;6
615;M;17;Flórida;8
616;M;7;Califórnia;6
617;F;7;Califórnia;4
618;M;0;Oklahoma;4
619;F;1;Califórnia;4
620;M;0;Nova Iorque (estado);4
621;M;4;Califórnia;4
622;M;0;Califórnia;6
623;M;17;Illinois;6
624;M;1;Texas;4
625;F;12;Ohio;6
626;M;4;Texas;4
627;M;2;Oregon;8
628;F;0;Maryland;6
629;F;10;Michigan;0
630;F;14;Colorado;6
631;M;17;Carolina do Norte;7
632;M;17;Nova Jérsia;7
633;M;17;Califórnia;6
634;F;10;Michigan;1
635;M;17;Flórida;9
636;M;20;Califórnia;4
637;M;12;Oregon;7
638;M;6;Texas;5
639;M;17;Arizona;7
640;M;4;Indiana;4
641;F;0;Minnesota;6
642;F;1;Texas;6
643;M;2;Virgínia;6
644;M;20;Califórnia;6
645;M;20;Nova Iorque (estado);6
646;M;7;Nova Jérsia;7
647;M;12;Arizona;6
648;F;12;Califórnia;6
649;M;4;Colorado;5
650;M;17;Michigan;6
651;M;7;Maryland;6
652;M;20;Nova Iorque (estado);4
653;M;13;Califórnia;9
654;M;7;Texas;8
655;F;2;Califórnia;6
656;F;16;Califórnia;7
657;F;13;Flórida;7
658;F;0;Nova Iorque (estado);5
659;F;0;Carolina do Norte;5
660;M;16;Luisiana;7
661;M;1;Nova Iorque (estado);7
662;M;4;Washington;4
663;F;7;Nova Iorque (estado);6
664;M;18;Oklahoma;6
665;M;2;Nova Iorque (estado);3
666;F;0;Nova Jérsia;4
667;M;18;Washington;6
668;F;3;Maryland;4
669;M;17;Geórgia (Estados Unidos);6
670;M;12;Geórgia (Estados Unidos);6
671;M;4;Illinois;3
672;M;7;Indiana;6
673;M;20;Nova Iorque (estado);5
674;M;17;Maryland;6
675;M;20;Massachusetts;6
676;M;16;Minnesota;4
677;M;2;Califórnia;7
678;M;0;Flórida;5
679;M;16;Carolina do Sul;6
680;M;12;Tennessee;6
681;M;7;Geórgia (Estados Unidos);7
682;M;4;Carolina do Norte;5
683;M;4;Carolina do Norte;6
684;M;4;Carolina do Norte;5
685;M;4;Carolina do Norte;5
686;M;4;Carolina do Norte;3
687;F;7;Nova Iorque (estado);5
688;M;13;Nova Iorque (estado);9
689;F;0;Michigan;7
690;M;12;Califórnia;6
691;M;11;Havaí;6
692;F;0;Arizona;6
693;M;12;Washington;7
694;M;4;Texas;3
695;F;1;Maine;4
696;M;12;Califórnia;5
697;F;6;Oregon;7
698;M;4;Texas;4
699;M;0;Oklahoma;4
700;M;17;Nova Iorque (estado);8
701;F;4;Massachusetts;4
702;M;7;Califórnia;6
703;F;1;Ohio;9
704;F;8;Arizona;6
705;M;4;Michigan;5
706;M;20;Texas;7
707;M;7;Pensilvânia;7
708;M;0;Tennessee;6
709;M;0;Califórnia;4
710;M;20;Arizona;6
711;M;18;Colorado;5
712;M;0;Califórnia;6
713;M;7;Texas;7
714;M;4;Texas;4
715;M;0;Wisconsin;4
716;M;4;Washington;4
717;M;11;Califórnia;5
718;M;2;Califórnia;4
719;M;0;Texas;0
720;M;0;Minnesota;4
721;F;9;Oregon;7
722;M;12;Minnesota;6
723;M;12;Washington;6
724;M;13;Califórnia;8
725;M;11;Nova Jérsia;9
726;F;9;Texas;5
727;M;11;Califórnia;6
728;M;6;Nova Iorque (estado);5
729;M;12;Arizona;6
730;M;0;Nova Iorque (estado);5
731;M;3;Minnesota;7
732;M;7;Nova Jérsia;6
733;M;16;Geórgia (Estados Unidos);6
734;M;7;Califórnia;5
735;M;14;Maine;5
736;M;12;Nova Jérsia;3
737;M;19;Wisconsin;0
738;M;17;Washington;3
739;M;12;Minnesota;6
740;M;14;Virgínia;5
741;M;5;Ohio;6
742;M;0;Wisconsin;4
743;F;2;Illinois;2
744;M;17;Texas;6
745;M;10;Califórnia;0
746;F;19;Califórnia;3
747;M;4;Washington;4
748;M;0;Illinois;5
749;M;18;Minnesota;6
750;F;9;Nova Iorque (estado);6
751;F;17;Oregon;5
752;F;3;Oregon;6
753;M;10;Kentucky;1
754;M;7;Tennessee;6
755;F;0;Califórnia;7
756;M;0;Califórnia;7
757;M;12;Oregon;6
758;M;7;Pensilvânia;6
759;F;3;Nevada;9
760;M;15;Califórnia;8
761;M;7;Alasca;4
762;M;10;Missouri;0
763;M;10;Rhode Island;4
764;M;20;Arizona;4
765;M;17;Oklahoma;5
766;F;7;Califórnia;5
767;M;12;Ohio;5
768;M;12;Pensilvânia;6
769;M;17;Massachusetts;7
770;M;4;Washington;4
771;F;1;Texas;8
772;M;12;Nevada;3
773;M;6;Michigan;5
774;M;4;Virgínia;4
775;M;17;Minnesota;0
776;F;3;Califórnia;6
777;M;19;Novo México;4
778;M;17;Flórida;3
779;M;0;Illinois;5
780;M;17;Califórnia;4
781;M;4;Califórnia;4
782;M;1;Carolina do Norte;9
783;M;4;Wisconsin;5
784;M;0;Nova Iorque (estado);4
785;M;19;Carolina do Sul;4
786;M;0;Minnesota;6
787;M;4;Texas;4
788;M;0;Tennessee;5
789;M;1;Kansas;4
790;M;17;Ohio;5
791;M;7;Carolina do Norte;7
792;M;17;Massachusetts;6
793;F;14;Tennessee;7
794;M;20;Nova Iorque (estado);8
795;F;14;Pensilvânia;6
796;M;6;Washington;7
797;F;7;;8
798;F;20;Michigan;4
799;F;5;Washington;5
800;F;12;Arkansas;6
801;F;20;Califórnia;5
802;M;16;Virgínia;6
803;M;4;Kansas;3
804;M;20;Califórnia;5
805;M;12;Tennessee;6
806;M;0;Flórida;7
807;M;4;Nevada;4
808;M;7;Arizona;5
809;M;17;Luisiana;6
810;M;12;Washington;6
811;M;0;Califórnia;8
812;M;6;Tennessee;5
813;M;4;Luisiana;3
814;F;4;Califórnia;4
815;M;4;Tennessee;5
816;M;0;Califórnia;7
817;M;4;Kentucky;4
818;M;4;Illinois;4
819;M;7;Illinois;6
820;M;7;Texas;6
821;M;2;Nova Iorque (estado);4
822;F;1;Nova Jérsia;6
823;M;0;Califórnia;6
824;M;12;Califórnia;7
825;M;1;Mississippi;8
826;F;1;Colorado;6
827;M;2;Minnesota;7
828;M;4;Luisiana;4
829;M;19;Wisconsin;1
830;M;7;Illinois;6
831;F;0;Maryland;7
832;M;2;Pensilvânia;4
833;M;7;Indiana;6
834;F;12;Texas;7
835;M;0;Califórnia;9
836;M;11;Nova Iorque (estado);6
837;M;7;Nova Jérsia;9
838;M;17;Califórnia;8
839;M;0;Washington;5
840;F;3;Rhode Island;6
841;F;14;Califórnia;8
842;F;0;Minnesota;4
843;M;7;Michigan;4
844;M;0;Califórnia;6
845;F;0;Washington, D.C.;4
846;M;5;Colorado;5
847;F;7;Colorado;6
848;M;15;Califórnia;5
849;M;3;Texas;6
850;M;0;Illinois;6
851;M;4;Texas;4
852;M;5;Califórnia;6
853;M;17;Minnesota;5
854;F;16;Ohio;5
855;F;2;Arkansas;3
856;F;6;Massachusetts;7
857;M;17;Nova Iorque (estado);6
858;M;14;Nova Iorque (estado);6
859;M;12;Nova Iorque (estado);6
860;M;0;Texas;4
861;M;7;Tennessee;6
862;M;7;Nova Iorque (estado);6
863;M;7;Illinois;6
864;F;0;Oregon;5
865;M;1;Califórnia;6
866;M;10;Nova Jérsia;0
867;M;12;Califórnia;7
868;M;17;Massachusetts;7
869;M;20;Califórnia;4
870;F;1;Massachusetts;4
871;M;10;Texas;0
872;M;1;Maryland;8
873;M;6;Pensilvânia;8
874;M;15;Virgínia Ocidental;7
875;M;10;Califórnia;1
876;M;4;Ohio;5
877;M;0;Califórnia;6
878;M;2;Massachusetts;4
879;M;16;Califórnia;7
880;M;17;Califórnia;7
881;M;14;Texas;4
882;M;2;Massachusetts;4
883;F;14;Califórnia;6
884;M;10;Michigan;2
885;M;0;Michigan;7
886;F;0;Nova Iorque (estado);8
887;F;16;Minnesota;8
888;F;10;Nova Jérsia;2
889;M;20;Nova Iorque (estado);7
890;M;4;Califórnia;3
891;M;1;Colorado;5
892;M;0;Texas;6
893;F;6;Arizona;8
894;M;4;Geórgia (Estados Unidos);4
895;M;1;Flórida;8
896;M;15;Califórnia;4
897;M;6;Califórnia;5
898;M;7;Texas;6
899;F;1;Geórgia (Estados Unidos);6
900;F;13;Califórnia;9
901;F;0;Califórnia;9
902;M;0;Ohio;9
903;M;13;Texas;9
904;M;20;Califórnia;7
905;F;12;Carolina do Norte;7
906;M;10;Luisiana;1
907;F;6;Califórnia;7
908;F;1;Califórnia;8
909;M;7;Califórnia;7
910;F;0;Washington;7
911;M;0;Washington;8
912;F;2;Califórnia;6
913;M;0;Maryland;6
914;F;9;Geórgia (Estados Unidos);6
915;M;7;Arkansas;5
916;F;1;Califórnia;5
917;M;6;Califórnia;7
918;F;1;Califórnia;7
919;F;1;Califórnia;6
920;M;4;Califórnia;4
921;M;17;Califórnia;5
922;M;16;Michigan;8
923;M;7;Tennessee;6
924;M;17;Washington;8
925;F;3;Michigan;6
926;M;10;Nova Jérsia;0
927;F;20;Califórnia;5
928;F;16;Washington;9
929;M;15;Wisconsin;6
930;M;5;Washington;5
931;F;1;Connecticut;9
932;F;6;Oregon;6
933;M;1;Michigan;7
934;F;7;Oregon;6
935;M;14;Illinois;7
936;M;4;Flórida;4
937;M;15;Illinois;5
938;F;1;Massachusetts;5
939;F;20;;6
940;M;10;Texas;1
941;M;20;Ohio;4
942;F;6;Arizona;8
943;F;12;Nova Jérsia;7
944;M;0;Califórnia;6
945;M;7;Michigan;7
946;M;7;Michigan;6
947;M;0;Maryland;3
948;M;12;Ohio;8
949;M;17;Havaí;8
950;M;7;Maryland;6
951;M;2;Nova Iorque (estado);7
952;M;16;Oregon;8
953;M;20;Oregon;8
954;F;0;Maryland;4
955;F;7;Califórnia;8
956;M;1;Minnesota;7
957;M;1;Carolina do Sul;6
958;M;2;Michigan;6
959;M;11;Ohio;8
960;M;10;Ohio;0
961;M;10;Nova Iorque (estado);4
962;F;1;Colorado;5
963;M;0;Michigan;5
964;M;7;Califórnia;5
965;M;7;Nova Iorque (estado);9
966;M;2;Califórnia;8
967;F;0;Ohio;4
968;M;12;Califórnia;8
969;F;11;Pensilvânia;5
970;M;0;Carolina do Norte;6
971;M;12;Ohio;5
972;M;1;Massachusetts;7
973;F;1;Colorado;4
974;M;19;Califórnia;7
975;M;0;Washington;6
976;M;14;Nevada;6
977;M;2;Colorado;5
978;M;0;Pensilvânia;3
