MovieID;Title;Genres
99;Heidi Fleiss: Hollywood Madam (1995);64
100;City Hall (1996);32896
101;Bottle Rocket (1996);16
102;Mr. Wrong (1996);16
103;Unforgettable (1996);32768
104;Happy Gilmore (1996);16
105;Bridges of Madison County, The (1995);8320
106;Nobody Loves Me (Keiner liebt mich) (1994);144
107;Muppet Treasure Island (1996);2074
108;Catwalk (1995);64
109;Headless Body in Topless Bar (1995);16
110;Braveheart (1995);65665
111;Taxi Driver (1976);32896
112;Rumble in the Bronx (1995);35
113;Before and After (1996);4224
114;Margaret's Museum (1995);128
115;Happiness Is in the Field (1995);16
116;Anne Frank Remembered (1995);64
117;Young Poisoner's Handbook, The (1995);32
118;If Lucy Fell (1996);8208
119;Steal Big, Steal Little (1995);16
120;Race the Sun (1996);128
121;Boys of St. Vincent, The (1993);128
122;Boomerang (1992);8208
123;Chungking Express (1994);12416
124;Star Maker, The (Uomo delle stelle, L') (1995);128
125;Flirting With Disaster (1996);16
126;NeverEnding Story III, The (1994);266
127;Silence of the Palace, The (Saimt el Qusur) (1994);128
128;Jupiter's Wife (1994);64
129;Pie in the Sky (1995);8208
130;Angela (1995);128
131;Frankie Starlight (1995);8320
132;Jade (1995);32768
133;Nueba Yol (1995);144
134;Sonic Outlaws (1995);64
135;Down Periscope (1996);16
136;From the Journals of Jean Seberg (1995);64
137;Man of the Year (1995);64
138;Neon Bible, The (1995);128
139;Target (1995);129
140;Up Close and Personal (1996);8320
141;Birdcage, The (1996);16
142;Shadows (Cienie) (1988);128
143;Gospa (1995);128
144;Brothers McMullen, The (1995);16
145;Bad Boys (1995);1
146;Amazing Panda Adventure, The (1995);10
147;Basketball Diaries, The (1995);128
148;Awfully Big Adventure, An (1995);128
149;Amateur (1994);32928
150;Apollo 13 (1995);128
151;Rob Roy (1995);73856
152;Addiction, The (1995);1024
153;Batman Forever (1995);51
154;Belle de jour (1967);128
155;Beyond Rangoon (1995);65664
156;Blue in the Face (1995);16
157;Canadian Bacon (1994);65552
158;Casper (1995);10
159;Clockers (1995);128
160;Congo (1995);20483
161;Crimson Tide (1995);98432
162;Crumb (1994);64
163;Desperado (1995);40961
164;Devil in a Blue Dress (1995);37408
165;Die Hard: With a Vengeance (1995);32769
166;Doom Generation, The (1995);144
167;Feast of July (1995);128
168;First Knight (1995);8323
169;Free Willy 2: The Adventure Home (1995);138
170;Hackers (1995);32801
171;Jeffrey (1995);16
172;Johnny Mnemonic (1995);49153
173;Judge Dredd (1995);16387
174;Jury Duty (1995);16
175;Kids (1995);128
176;Living in Oblivion (1995);16
177;Lord of Illusions (1995);1024
178;Love & Human Remains (1993);16
179;Mad Love (1995);8320
180;Mallrats (1995);16
181;Mighty Morphin Power Rangers: The Movie (1995);9
182;Moonlight and Valentino (1995);8320
183;Mute Witness (1994);32768
184;Nadja (1994);128
185;Net, The (1995);49152
186;Nine Months (1995);16
187;Party Girl (1995);16
188;Prophecy, The (1995);1024
189;Reckless (1995);16
190;Safe (1995);32768
191;Scarlet Letter, The (1995);128
192;Show, The (1995);64
193;Showgirls (1995);128
194;Smoke (1995);128
195;Something to Talk About (1995);8336
196;Species (1995);17408
197;Stars Fell on Henrietta, The (1995);128
198;Strange Days (1995);16417
199;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);2176
200;Tie That Binds, The (1995);32768
201;Three Wishes (1995);128
202;Total Eclipse (1995);8320
203;To Wong Foo, Thanks for Everything! Julie Newmar (1995);16
204;Under Siege 2: Dark Territory (1995);1
205;Unstrung Heroes (1995);144
206;Unzipped (1995);64
207;Walk in the Clouds, A (1995);8320
208;Waterworld (1995);3
209;White Man's Burden (1995);128
210;Wild Bill (1995);131072
211;Browning Version, The (1994);128
212;Bushwhacked (1995);16
213;Burnt By the Sun (Utomlyonnye solntsem) (1994);128
214;Before the Rain (Pred dozhdot) (1994);128
215;Before Sunrise (1995);8320
216;Billy Madison (1995);16
217;Babysitter, The (1995);32896
218;Boys on the Side (1995);144
219;Cure, The (1995);128
220;Castle Freak (1995);1024
222;Circle of Friends (1995);8320
223;Clerks (1994);16
224;Don Juan DeMarco (1995);8336
225;Disclosure (1994);32896
226;Dream Man (1995);32768
227;Drop Zone (1994);1
228;Destiny Turns on the Radio (1995);16
229;Death and the Maiden (1994);32896
230;Dolores Claiborne (1994);32896
231;Dumb & Dumber (1994);16
232;Eat Drink Man Woman (1994);144
233;Exotica (1994);128
234;Exit to Eden (1994);16
235;Ed Wood (1994);144
236;French Kiss (1995);8208
237;Forget Paris (1995);8208
238;Far From Home: The Adventures of Yellow Dog (1995);10
239;Goofy Movie, A (1995);8220
240;Hideaway (1995);32768
241;Fluke (1995);136
242;Farinelli: il castrato (1994);2176
243;Gordy (1995);16
244;Gumby: The Movie (1995);12
245;Glass Shield, The (1994);160
246;Hoop Dreams (1994);64
247;Heavenly Creatures (1994);41344
248;Houseguest (1994);16
249;Immortal Beloved (1994);8320
250;Heavyweights (1994);24
251;Hunted, The (1995);1
252;I.Q. (1994);8208
253;Interview with the Vampire (1994);1152
254;Jefferson in Paris (1995);128
255;Jerky Boys, The (1994);16
256;Junior (1994);16400
257;Just Cause (1995);36864
258;Kid in King Arthur's Court, A (1995);8474
259;Kiss of Death (1995);32928
260;Star Wars: Episode IV - A New Hope (1977);16643
261;Little Women (1994);128
262;Little Princess, A (1995);136
263;Ladybird Ladybird (1994);128
264;Enfer, L' (1994);128
265;Like Water for Chocolate (Como agua para chocolate) (1992);8320
266;Legends of the Fall (1994);204928
267;Major Payne (1994);16
268;Little Odessa (1994);128
269;My Crazy Life (Mi vida loca) (1993);128
270;Love Affair (1994);8320
271;Losing Isaiah (1995);128
272;Madness of King George, The (1994);128
273;Mary Shelley's Frankenstein (1994);1152
274;Man of the House (1995);16
275;Mixed Nuts (1994);16
276;Milk Money (1994);8208
277;Miracle on 34th Street (1994);128
278;Miami Rhapsody (1995);16
279;My Family (1995);128
280;Murder in the First (1995);32896
281;Nobody's Fool (1994);128
282;Nell (1994);128
283;New Jersey Drive (1995);160
284;New York Cop (1996);33
285;Beyond Bedlam (1993);1152
286;Nemesis 2: Nebula (1995);49153
287;Nina Takes a Lover (1994);8208
288;Natural Born Killers (1994);32769
289;Only You (1994);8208
290;Once Were Warriors (1994);160
291;Poison Ivy II (1995);32768
292;Outbreak (1995);32897
293;Professional, The (a.k.a. Leon: The Professional) (1994);41120
294;Perez Family, The (1995);8208
295;Pyromaniac's Love Story, A (1995);8208
296;Pulp Fiction (1994);160
297;Panther (1995);128
298;Pushing Hands (1992);16
299;Priest (1994);128
300;Quiz Show (1994);128
301;Picture Bride (1995);8320
302;Queen Margot (La Reine Margot) (1994);8320
303;Quick and the Dead, The (1995);131075
304;Roommates (1995);144
305;Ready to Wear (Pret-A-Porter) (1994);16
306;Three Colors: Red (1994);128
307;Three Colors: Blue (1993);128
308;Three Colors: White (1994);128
309;Red Firecracker, Green Firecracker (1994);128
310;Rent-a-Kid (1995);16
311;Relative Fear (1994);33792
312;Stuart Saves His Family (1995);16
313;Swan Princess, The (1994);12
314;Secret of Roan Inish, The (1994);128
315;Specialist, The (1994);1
316;Stargate (1994);16387
317;Santa Clause, The (1994);280
318;Shawshank Redemption, The (1994);128
319;Shallow Grave (1994);32768
320;Suture (1993);33280
321;Strawberry and Chocolate (Fresa y chocolate) (1993);128
322;Swimming with Sharks (1995);144
324;Sum of Us, The (1994);16
325;National Lampoon's Senior Trip (1995);16
326;To Live (Huozhe) (1994);128
327;Tank Girl (1995);18449
328;Tales From the Crypt Presents: Demon Knight (1995);1024
329;Star Trek: Generations (1994);16387
330;Tales from the Hood (1995);1040
331;Tom & Viv (1994);128
332;Village of the Damned (1995);17408
333;Tommy Boy (1995);16
334;Vanya on 42nd Street (1994);128
335;Underneath, The (1995);36864
336;Walking Dead, The (1995);65664
337;What's Eating Gilbert Grape (1993);128
338;Virtuosity (1995);49152
339;While You Were Sleeping (1995);8208
340;War, The (1994);130
341;Double Happiness (1994);128
342;Muriel's Wedding (1994);8208
343;Baby-Sitters Club, The (1995);8
344;Ace Ventura: Pet Detective (1994);16
345;Adventures of Priscilla, Queen of the Desert, The (1994);144
346;Backbeat (1993);2176
347;Bitter Moon (1992);128
348;Bullets Over Broadway (1994);16
349;Clear and Present Danger (1994);32771
350;Client, The (1994);36992
351;Corrina, Corrina (1994);8336
352;Crooklyn (1994);16
353;Crow, The (1994);40961
354;Cobb (1994);128
355;Flintstones, The (1994);24
356;Forrest Gump (1994);73744
357;Four Weddings and a Funeral (1994);8208
358;Higher Learning (1995);128
359;I Like It Like That (1994);8336
360;I Love Trouble (1994);17
361;It Could Happen to You (1994);8320
362;Jungle Book, The (1994);8202
363;Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993);64
364;Lion King, The (1994);2060
365;Little Buddha (1993);128
366;Wes Craven's New Nightmare (1994);1024
367;Mask, The (1994);304
368;Maverick (1994);131089
369;Mrs. Parker and the Vicious Circle (1994);128
370;Naked Gun 33 1/3: The Final Insult (1994);16
371;Paper, The (1994);144
372;Reality Bites (1994);144
373;Red Rock West (1992);32768
374;Richie Rich (1994);24
375;Safe Passage (1994);128
376;River Wild, The (1994);32769
377;Speed (1994);40961
378;Speechless (1994);8208
379;Timecop (1994);16385
380;True Lies (1994);8211
381;When a Man Loves a Woman (1994);128
382;Wolf (1994);1152
383;Wyatt Earp (1994);131072
384;Bad Company (1995);1
385;Man of No Importance, A (1994);128
386;S.F.W. (1994);128
387;Low Down Dirty Shame, A (1994);17
388;Boys Life (1995);128
389;Colonel Chabert, Le (1994);73856
390;Faster Pussycat! Kill! Kill! (1965);145
391;Jason's Lyric (1994);160
392;Secret Adventures of Tom Thumb, The (1993);10
393;Street Fighter (1994);1
394;Coldblooded (1995);1
395;Desert Winds (1995);128
396;Fall Time (1995);128
397;Fear, The (1995);1024
398;Frank and Ollie (1995);64
399;Girl in the Cadillac (1995);128
400;Homage (1995);128
401;Mirage (1995);32769
402;Open Season (1996);16
403;Two Crimes (1995);176
404;Brother Minister: The Assassination of Malcolm X (1994);64
405;Highlander III: The Sorcerer (1994);16385
406;Federal Hill (1994);128
407;In the Mouth of Madness (1995);33792
408;8 Seconds (1994);128
409;Above the Rim (1994);128
410;Addams Family Values (1993);16
411;You So Crazy (1994);16
412;Age of Innocence, The (1993);128
413;Airheads (1994);16
414;Air Up There, The (1994);16
415;Another Stakeout (1993);32784
416;Bad Girls (1994);131072
417;Barcelona (1994);8208
418;Being Human (1993);128
419;Beverly Hillbillies, The (1993);16
420;Beverly Hills Cop III (1994);17
421;Black Beauty (1994);10
422;Blink (1994);32768
423;Blown Away (1994);32769
424;Blue Chips (1994);128
425;Blue Sky (1994);8320
426;Body Snatchers (1993);50176
427;Boxing Helena (1993);45056
428;Bronx Tale, A (1993);128
429;Cabin Boy (1994);16
430;Calendar Girl (1993);128
431;Carlito's Way (1993);160
432;City Slickers II: The Legend of Curly's Gold (1994);131088
433;Clean Slate (1994);16
434;Cliffhanger (1993);35
435;Coneheads (1993);16400
436;Color of Night (1994);32896
437;Cops and Robbersons (1994);16
438;Cowboy Way, The (1994);17
439;Dangerous Game (1993);128
440;Dave (1993);8208
441;Dazed and Confused (1993);16
442;Demolition Man (1993);16385
443;Endless Summer 2, The (1994);64
444;Even Cowgirls Get the Blues (1993);8208
445;Fatal Instinct (1993);16
446;Farewell My Concubine (1993);8320
447;Favor, The (1994);8208
448;Fearless (1993);128
449;Fear of a Black Hat (1993);16
450;With Honors (1994);144
451;Flesh and Bone (1993);12416
452;Widows' Peak (1994);128
453;For Love or Money (1993);16
454;Firm, The (1993);32896
455;Free Willy (1993);138
456;Fresh (1994);128
457;Fugitive, The (1993);32769
458;Geronimo: An American Legend (1993);131200
459;Getaway, The (1994);1
460;Getting Even with Dad (1994);16
461;Go Fish (1994);8320
462;Good Man in Africa, A (1994);3
463;Guilty as Sin (1993);32928
464;Hard Target (1993);32803
465;Heaven & Earth (1993);65665
466;Hot Shots! Part Deux (1993);65553
467;Live Nude Girls (1995);16
468;Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995);8208
469;House of the Spirits, The (1993);8320
470;House Party 3 (1994);16
471;Hudsucker Proxy, The (1994);8208
472;I'll Do Anything (1994);144
473;In the Army Now (1994);65552
474;In the Line of Fire (1993);32769
475;In the Name of the Father (1993);128
476;Inkwell, The (1994);144
477;What's Love Got to Do with It? (1993);128
478;Jimmy Hollywood (1994);16
479;Judgment Night (1993);1
480;Jurassic Park (1993);16387
481;Kalifornia (1993);32896
482;Killing Zoe (1994);32768
483;King of the Hill (1993);128
484;Lassie (1994);10
485;Last Action Hero (1993);17
486;Life with Mikey (1993);16
487;Lightning Jack (1994);131088
488;M. Butterfly (1993);128
489;Made in America (1993);16
490;Malice (1993);32768
491;Man Without a Face, The (1993);128
492;Manhattan Murder Mystery (1993);4112
493;Menace II Society (1993);161
494;Executive Decision (1996);32769
495;In the Realm of the Senses (Ai no corrida) (1976);128
496;What Happened Was... (1994);8336
497;Much Ado About Nothing (1993);8208
498;Mr. Jones (1993);8320
499;Mr. Wonderful (1993);8208
500;Mrs. Doubtfire (1993);16
501;Naked (1993);128
502;Next Karate Kid, The (1994);9
503;New Age, The (1994);128
504;No Escape (1994);16385
505;North (1994);16
506;Orlando (1993);128
507;Perfect World, A (1993);129
508;Philadelphia (1993);128
509;Piano, The (1993);8320
510;Poetic Justice (1993);128
511;Program, The (1993);129
512;Robert A. Heinlein's The Puppet Masters (1994);17408
513;Radioland Murders (1994);12304
514;Ref, The (1994);16
515;Remains of the Day, The (1993);128
516;Renaissance Man (1994);65680
517;Rising Sun (1993);4225
518;Road to Wellville, The (1994);16
519;Robocop 3 (1993);49152
520;Robin Hood: Men in Tights (1993);16
521;Romeo Is Bleeding (1993);32800
522;Romper Stomper (1992);129
523;Ruby in Paradise (1993);128
524;Rudy (1993);128
525;Saint of Fort Washington, The (1993);128
526;Savage Nights (Nuits fauves, Les) (1992);128
527;Schindler's List (1993);65664
528;Scout, The (1994);128
529;Searching for Bobby Fischer (1993);128
530;Second Best (1994);128
531;Secret Garden, The (1993);136
532;Serial Mom (1994);1072
533;Shadow, The (1994);1
534;Shadowlands (1993);8320
535;Short Cuts (1993);128
536;Simple Twist of Fate, A (1994);128
537;Sirens (1994);144
538;Six Degrees of Separation (1993);128
539;Sleepless in Seattle (1993);8208
540;Sliver (1993);32768
541;Blade Runner (1982);16896
542;Son in Law (1993);16
543;So I Married an Axe Murderer (1993);40976
544;Striking Distance (1993);1
545;Harlem (1993);128
546;Super Mario Bros. (1993);16395
547;Surviving the Game (1994);32771
548;Terminal Velocity (1994);1
549;Thirty-Two Short Films About Glenn Gould (1993);64
550;Threesome (1994);8208
551;Nightmare Before Christmas, The (1993);2072
552;Three Musketeers, The (1993);19
553;Tombstone (1993);131072
554;Trial by Jury (1994);32768
555;True Romance (1993);8225
556;War Room, The (1993);64
557;Mamma Roma (1962);128
558;Pagemaster, The (1994);271
559;Paris, France (1993);16
560;Beans of Egypt, Maine, The (1994);128
561;Killer (Bulletproof Heart) (1994);32768
562;Welcome to the Dollhouse (1995);144
563;Germinal (1993);128
564;Chasers (1994);16
565;Cronos (1992);1024
566;Naked in New York (1994);8208
567;Kika (1993);128
568;Bhaji on the Beach (1993);144
569;Little Big League (1994);24
570;Slingshot, The (K�disbellan ) (1993);144
571;Wedding Gift, The (1994);128
572;Foreign Student (1994);128
573;Ciao, Professore! (Io speriamo che me la cavo ) (1993);128
574;Spanking the Monkey (1994);144
575;Little Rascals, The (1994);24
576;Fausto (1993);16
577;Andre (1994);10
578;Hour of the Pig, The (1993);4224
579;Scorta, La (1993);32768
580;Princess Caraboo (1994);128
581;Celluloid Closet, The (1995);64
582;Metisse (Caf� au Lait) (1993);16
583;Dear Diary (Caro Diario) (1994);144
584;I Don't Want to Talk About It (De eso no se habla) (1993);128
585;Brady Bunch Movie, The (1995);16
586;Home Alone (1990);24
587;Ghost (1990);40976
588;Aladdin (1992);2076
589;Terminator 2: Judgment Day (1991);49153
590;Dances with Wolves (1990);131202
591;Tough and Deadly (1995);32897
592;Batman (1989);163
593;Silence of the Lambs, The (1991);32896
594;Snow White and the Seven Dwarfs (1937);2060
595;Beauty and the Beast (1991);2060
596;Pinocchio (1940);12
597;Pretty Woman (1990);8208
598;Window to Paris (1994);16
599;Wild Bunch, The (1969);131072
600;Love and a .45 (1994);32768
601;Wooden Man's Bride, The (Wu Kui) (1994);128
602;Great Day in Harlem, A (1994);64
603;Bye Bye, Love (1995);16
604;Criminals (1996);64
605;One Fine Day (1996);8320
606;Candyman: Farewell to the Flesh (1995);1024
607;Century (1993);128
608;Fargo (1996);32928
609;Homeward Bound II: Lost in San Francisco (1996);10
610;Heavy Metal (1981);17415
611;Hellraiser: Bloodline (1996);17409
612;Pallbearer, The (1996);16
613;Jane Eyre (1996);8320
614;Loaded (1994);32896
615;Bread and Chocolate (Pane e cioccolata) (1973);128
616;Aristocats, The (1970);12
617;Flower of My Secret, The (La Flor de Mi Secreto) (1995);128
618;Two Much (1996);8208
619;Ed (1996);16
620;Scream of Stone (Schrei aus Stein) (1991);128
621;My Favorite Season (1993);128
623;Modern Affair, A (1995);8192
624;Condition Red (1995);32897
625;Asfour Stah (1990);128
626;Thin Line Between Love and Hate, A (1996);16
627;Last Supper, The (1995);32896
628;Primal Fear (1996);32896
629;Rude (1995);128
630;Carried Away (1996);8320
631;All Dogs Go to Heaven 2 (1996);2060
632;Land and Freedom (Tierra y libertad) (1995);65536
633;Denise Calls Up (1995);16
634;Theodore Rex (1995);16
635;Family Thing, A (1996);144
636;Frisk (1995);128
637;Sgt. Bilko (1996);16
638;Jack and Sarah (1995);8192
639;Girl 6 (1996);16
640;Diabolique (1996);32896
641;Little Indian, Big City (Un indien dans la ville) (1994);16
642;Roula (1995);128
643;Peanuts - Die Bank zahlt alles (1996);16
644;Happy Weekend (1996);16
645;Nelly & Monsieur Arnaud (1995);128
647;Courage Under Fire (1996);65664
648;Mission: Impossible (1996);4099
649;Cold Fever (� k�ldum klaka) (1994);144
650;Moll Flanders (1996);128
651;Superweib, Das (1996);16
652;301, 302 (1995);4096
653;Dragonheart (1996);259
654;Und keiner weint mir nach (1996);8320
655;Mutters Courage (1995);16
656;Eddie (1996);16
657;Yankee Zulu (1994);144
658;Billy's Holiday (1995);128
659;Purple Noon (1960);32800
660;August (1996);128
661;James and the Giant Peach (1996);2060
662;Fear (1996);32768
663;Kids in the Hall: Brain Candy (1996);16
664;Faithful (1996);16
665;Underground (1995);65536
666;All Things Fair (1996);128
667;Bloodsport 2 (1995);1
668;Pather Panchali (1955);128
669;Aparajito (1956);128
670;World of Apu, The (Apur Sansar) (1959);128
671;Mystery Science Theater 3000: The Movie (1996);16400
672;Tarantella (1995);128
673;Space Jam (1996);286
674;Barbarella (1968);16386
675;Hostile Intentions (1994);32897
676;They Bite (1996);128
678;Some Folks Call It a Sling Blade (1993);32896
679;Run of the Country, The (1995);128
680;Alphaville (1965);16384
681;Clean Slate (Coup de Torchon) (1981);32
682;Tigrero: A Film That Was Never Made (1994);192
683;Eye of Vichy, The (Oeil de Vichy, L') (1993);64
684;Windows (1980);128
685;It's My Party (1995);128
687;Country Life (1994);8320
688;Operation Dumbo Drop (1995);65555
690;Promise, The (Versprechen, Das) (1994);8192
691;Mrs. Winterbourne (1996);8208
692;Solo (1996);49153
693;Under the Domin Tree (Etz Hadomim Tafus) (1994);128
694;Substitute, The (1996);1
695;True Crime (1995);36864
696;Butterfly Kiss (1995);32768
697;Feeling Minnesota (1996);8320
698;Delta of Venus (1994);128
699;To Cross the Rubicon (1991);128
700;Angus (1995);16
701;Daens (1992);128
702;Faces (1968);128
703;Boys (1996);128
704;Quest, The (1996);3
705;Cosi (1996);16
706;Sunset Park (1996);128
707;Mulholland Falls (1996);33312
708;Truth About Cats & Dogs, The (1996);8208
709;Oliver & Company (1988);12
710;Celtic Pride (1996);16
711;Flipper (1996);10
712;Captives (1994);128
713;Of Love and Shadows (1994);128
714;Dead Man (1995);131072
715;Horseman on the Roof, The (Hussard sur le toit, Le) (1995);128
716;Switchblade Sisters (1975);32
717;Mouth to Mouth (Boca a boca) (1995);16
718;Visitors, The (Les Visiteurs) (1993);16400
719;Multiplicity (1996);16
720;Wallace & Gromit: The Best of Aardman Animation (1996);4
721;Halfmoon (Paul Bowles - Halbmond) (1995);128
722;Haunted World of Edward D. Wood Jr., The (1995);64
723;Two Friends (1986);128
724;Craft, The (1996);1152
725;Great White Hype, The (1996);16
726;Last Dance (1996);128
727;War Stories (1995);64
728;Cold Comfort Farm (1995);16
729;Institute Benjamenta, or This Dream People Call Human Life (1995);128
730;Low Life, The (1994);128
731;Heaven's Prisoners (1996);36864
732;Original Gangstas (1996);32
733;Rock, The (1996);32771
734;Getting Away With Murder (1996);16
735;Cemetery Man (Dellamorte Dellamore) (1994);1040
736;Twister (1996);40963
737;Barb Wire (1996);16385
738;Garcu, Le (1995);128
739;Honigmond (1996);16
741;Ghost in the Shell (Kokaku kidotai) (1995);16388
742;Thinner (1996);33792
743;Spy Hard (1996);16
744;Brothers in Trouble (1995);128
745;Close Shave, A (1995);32788
746;Force of Evil (1948);512
747;Stupids, The (1996);16
748;Arrival, The (1996);49153
749;Man from Down Under, The (1943);128
750;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963);81920
751;Careful (1992);16
752;Vermont Is For Lovers (1992);8208
753;Month by the Lake, A (1995);144
754;Gold Diggers: The Secret of Bear Mountain (1995);10
755;Kim (1950);136
756;Carmen Miranda: Bananas Is My Business (1994);64
757;Ashes of Time (1994);128
758;Jar, The (Khomreh) (1992);128
759;Maya Lin: A Strong Clear Vision (1994);64
760;Stalingrad (1993);65536
761;Phantom, The (1996);2
762;Striptease (1996);48
763;Last of the High Kings, The (a.k.a. Summer Fling) (1996);128
764;Heavy (1995);8320
765;Jack (1996);144
766;I Shot Andy Warhol (1996);128
767;Grass Harp, The (1995);128
768;Someone Else's America (1995);128
769;Marlene Dietrich: Shadow and Light (1996);64
770;Costa Brava (1946);128
771;Vie est belle, La (Life is Rosey) (1987);144
772;Quartier Mozart (1992);16
773;Touki Bouki (Journey of the Hyena) (1973);128
774;Wend Kuuni (God's Gift) (1982);128
775;Spirits of the Dead (Tre Passi nel Delirio) (1968);1024
776;Babyfever (1994);144
777;Pharaoh's Army (1995);65536
778;Trainspotting (1996);128
779;'Til There Was You (1997);8320
780;Independence Day (ID4) (1996);81921
781;Stealing Beauty (1996);128
782;Fan, The (1996);32768
783;Hunchback of Notre Dame, The (1996);2060
784;Cable Guy, The (1996);16
785;Kingpin (1996);16
786;Eraser (1996);32769
787;Gate of Heavenly Peace, The (1995);64
788;Nutty Professor, The (1996);24848
789;I, Worst of All (Yo, la peor de todas) (1990);128
790;An Unforgettable Summer (1994);128
791;Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995);64
792;Hungarian Fairy Tale, A (1987);256
793;My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993);128
794;Midnight Dancers (Sibak) (1994);144
795;Somebody to Love (1994);128
796;Very Natural Thing, A (1974);128
797;Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991);16
798;Daylight (1996);32771
799;Frighteners, The (1996);1040
800;Lone Star (1996);4224
801;Harriet the Spy (1996);24
802;Phenomenon (1996);8320
803;Walking and Talking (1996);8192
804;She's the One (1996);8208
805;Time to Kill, A (1996);128
806;American Buffalo (1996);128
807;Rendezvous in Paris (Rendez-vous de Paris, Les) (1995);8208
808;Alaska (1996);10
809;Fled (1996);3
810;Kazaam (1996);280
811;Bewegte Mann, Der (1994);16
812;Magic Hunter (1994);128
813;Larger Than Life (1996);16
814;Boy Called Hate, A (1995);128
815;Power 98 (1995);36865
816;Two Deaths (1995);128
818;Very Brady Sequel, A (1996);16
819;Stefano Quantestorie (1993);144
820;Death in the Garden (Mort en ce jardin, La) (1956);128
821;Crude Oasis, The (1995);8192
822;Hedd Wyn (1992);128
823;Collectionneuse, La (1967);128
824;Kaspar Hauser (1993);128
825;Echte Kerle (1996);8208
826;Diebinnen (1995);128
827;Convent, The (Convento, O) (1995);128
828;Adventures of Pinocchio, The (1996);10
829;Joe's Apartment (1996);2064
830;First Wives Club, The (1996);16
831;Stonewall (1995);128
832;Ransom (1996);32896
833;High School High (1996);16
834;Phat Beach (1996);16
835;Foxfire (1996);128
836;Chain Reaction (1996);32771
837;Matilda (1996);24
838;Emma (1996);8336
839;Crow: City of Angels, The (1996);32769
